Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
?;existiert nicht;existiert nicht;Seine Jünger sagten zu ihm: Wann wird die Ruhe der Toten eintreten und an welchem Tage wird die neue Welt kommen? Er sagte zu ihnen: Diese Welt, die ihr erwartet, ist längst gekommen, aber ihr erkennt sie nicht. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;45;existiert bisher nicht;37;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Seine Jünger sagten zu ihm: Vierundzwanzig Propheten haben in Israel gesprochen und sie alle haben von dir gesprochen. Er sagte zu ihnen: Ihr habt den vergessen, der gerade vor euch steht und habt von den Toten gesprochen. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;46;existiert bisher nicht;38;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;schlecht machen;1. schafft nicht das Schlechte, 2. Möglichkeit zum Lieben bzw. eigentlich keine Notwendigkeit zum Schlechten (Modallogik),  keine 3.  Rechtmäßigkeit bzw.  3. keine Musterung zum Schlechten, bzw. 3. kein Hinterfragen, d.h. ggf. lieb, Modallogik mit 4 Sachen anstelle von 2: Möglichkeit,  Notwendigkeit;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Seine Jünger sagten zu ihm: Ist die Beschneidung nützlich oder nicht? Er sagte zu ihnen: Wenn sie nützlich wäre, würde ihr Vater sie schon beschnitten von der Mutter gebären lassen. Doch die wahre Beschneidung im Geist hat vollen Nutzen. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;47;existiert bisher nicht;39;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte:  Lobt die Armen, denn sie gehören (ebenfalls) zum Himmelreich. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;48;existiert bisher nicht;40;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;Das hier bringt die Einheit des Egoismus;Das hier bringt die Einheit des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Wer immer Vater und Mutter nicht hasst, kann nicht mein Jünger werden. Und wer nicht Brüder Jesus sagte: und Schwestern hasst und wer nicht das Kreuz trägt wie ich, wird meiner nicht würdig sein. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;49;existiert bisher nicht;41;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wer immer die Welt erkannt hat, hat einen Leichnam entdeckt, und wer auch immer einen Leichnam dieser Person entdeckt haben mag, dessen ist die Welt nicht (länger) würdig. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;50;existiert bisher nicht;42;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;bringt den Besitzeswunsch des Guten, die Selbstgerechtigkeit zum Guten, den Gesellschaftszustand des Guten;1. beurteilt das Gute nicht, 2. hat keine Fähigkeit Besitz über das Gute zu ergreifen, bzw. schafft nicht das Gute, 3.  Nützt dem Besitz des Guten nichts, 2. Möglichkeit zum Guten bzw. eigentlich keine Notwendigkeit zum Bösen (Modallogik),  5.  die Gesellschaft des Guten gilt nicht, bzw. das Besitzergreifen vom Guten gilt nicht, 6. keine Musterung und keine Rechtmäßigkeit für das Gute, ggf. böse, Modallogik mit 8 Sachen anstelle von 2: Möglichkeit,  Notwendigkeit;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Das Königreich des Vaters gleicht einem Menschen, der eine gute Saat besitzt. Sein Feind kam in der Nacht und säte Unkraut unter die gute Saat. Diese Person erlaubte daraufhin seinen Arbeitern nicht, das Unkraut auszureißen. Er sagte zu ihnen: Nein, andernfalls reißt ihr den Weizen mit dem Unkraut heraus. Am Tag der Ernte wird das Unkraut sichtbar werden und wird es ausreißen und verbrennen können. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;51;existiert bisher nicht;43;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte:  Lobt denjenigen, der sich geplagt hat, er hat das Leben gefunden. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;Das soeben beschriebene auch dann können, aber mit viel Mühe der Eltern.;-;?;?;?;?;?;52;existiert bisher nicht;44;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Schaut auf den lebendig gewordenen Auserwählten (Ganzgewordenen), solange ihr lebt, damit ihr nicht sterben mögt und den lebendigen Auserwählten suchen müsst, um ihn zu sehen und ihn dann doch nicht sehen könnt. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;53;existiert bisher nicht;45;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Er sah (gerade) einen Samariter, der ein Lamm trug und nach Judäa ging. Er sagte zu seinen Jüngern: Was will dieser mit dem Lamm? Sie sagten zu ihm: Er wird es töten und essen. Er sagte zu ihnen: Während es lebt, wird er es nicht essen, sondern erst, wenn er es tötet und es ein Leichnam sein wird. Sie sagten: Anders kann er es nicht tun. Er sagte zu ihnen: So ergeht es euch auch, ihr sucht einen Ort zur Ruhe, damit ihr nicht ein Leichnam und gegessen werdet. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;54;existiert bisher nicht;46;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;Das hier bringt die Wahrheit und Freundschaft des Egoismus;Das hier bringt die Wahrheit und Freundschaft des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Zwei werden ruhen auf einem Bett, einer wird sterben, der andere wird leben. Salome sagte: Wer bist du, mein Herr? Du bist auf mein Bett gestiegen und hast an meiner Tafel gegessen, als wärst du von jemandem gesandt worden. Jesus sagte zu ihr: Ich bin der Auserwählte, der aus dem Ganzen hervorkommt. Ich habe die Erlaubnis meines Vaters erhalten. Salome sagte: Ich bin deine Jüngerin. Jesus sagte zu ihr: Aus diesem Grunde teile ich dir mit, wenn jemand ganz ist, wird er mit Licht erfüllt werden, doch wenn jemand geteilt ist, wird er voller Dunkelheit sein. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;55;existiert bisher nicht;47;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Ich enthülle meine Geheimnisse jenen, die meiner Mysterien wert sind. Lasse deine linke Hand nicht wissen, was deine rechte tut. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;56;existiert bisher nicht;48;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Es war einmal ein reicher Mann, der viel Geld durch einen großen Handel erhielt. Er sagte: Ich werde mein Vermögen benutzen, um zu säen, zu ernten, zu pflanzen und meine Speicher mit Früchten füllen, auf dass es mir an nichts fehle. Dies waren seine letzten Gedanken in seinem Herzen, denn in dieser Nacht starb er. Jedermann hier, der gute Ohren besitzt, sollte gut zuhören. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;57;existiert bisher nicht;49;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;Das Gute ist der höhere Zweck bzw. die Einheit des Guten;Ich noch nicht fertig hier: 1. das Gute ist nicht das Mittel bzw. die Form, 2. keine Fähigkeit zur Einheit für den höheren Zweck des Guten, 3. kein Nutzen der Einheit und des höheren Zwecks zum Guten;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Ein Mann empfing gerade seine Gäste. Als er das Mahl zubereitet hatte, sandte er seinen Diener aus, um die Gäste einzuladen. Der Diener ging zum ersten und sagte zu ihm: Mein Herr lädt dich ein. Der sagte: Ich habe Geld bei Kaufleuten. Sie werden heute Abend zu mir kommen. Ich werde ihnen Aufträge geben. Bitte entschuldige mich für das Mahl. Er ging zu einem anderen und sagte zu ihm: Mein Herr hat dich eingeladen. Dieser sagte zu ihm: Ich habe ein Haus gekauft und man braucht mich für einen Tag. Ich werde keine Zeit haben. Er ging zu einem anderen und sagte zu diesem: Mein Herr lädt dich ein. Dieser antwortete: Mein Freund wird sich verheiraten und ich gestalte das Mahl. Ich werde nicht in der Lage sein zu kommen. Bitte entschuldige mich für das Mahl. Er ging zu einem anderen, er sagte zu ihm: Mein Herr lädt dich ein. Er sagte zu ihm: Ich habe einen Hof gekauft. Ich bin gerade dabei, die Miete einzuholen. Ich werde nicht in der Lage sein zu kommen. Bitte entschuldige mich. Der Diener kehrte zurück und teilte seinem Herrn mit: Die, die du zum Mahl eingeladen hast, lassen sich entschuldigen. Der Herr sagte zu seinem Diener: Geh hinaus auf die Straße und bring die mit, wen immer du gerade finden wirst und lade sie zum Essen ein. Die Verkäufer und Händler werden nicht den Ort meines Vaters betreten wollen. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;Ignoranz;?;?;?;?;58;existiert bisher nicht;50;siehe oben;?;?;?;?;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;zeitlich;räumlich;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;damit hier selbstgerecht ausüben, das hier nutzen um selbstgenügsam zu sein, selbstherrlich sein können;das hier nicht nutzen, um selbstgerecht zu sein, nicht selbstgenügsam sein können, nicht selbstherrlich sein wollen;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Er sagte: Ein  Mann hatte einen Weinberg und vermietete ihn an Winzer, damit sie an ihm arbeiteten und er die Früchte von ihnen erhielte. Er schickte seinen Diener, damit die Winzer ihm die Frucht des Weinbergs geben. Diese ergriffen seinen Diener, schlugen ihn, und sie töteten ihn beinahe. Der Diener rannte davon und erzählte es seinem Herrn. Sein Herr sagte: Vielleicht hat er dich nicht erkannt. Er schickte einen weiteren Diener. Die Winzer schlugen auch diesen. Dann schickte der Herr seinen Sohn. Er sagte. Vielleicht werden sie vor meinem Sohn etwas Respekt bezeugen. Diese Winzer, als sie erfuhren, dass er der Erbe des Weinbergs wäre, packten ihn und töteten ihn. Jeder, der zwei Ohren hat, möge besser zuhören. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;59;existiert bisher nicht;51;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;Das Schlechte gilt;1. taugt nicht zum Schlechten, 2. hat keine Fähigkeit zum schlecht gelten, zum schlecht 2. dazu zählen, 3. nützt nichts dazu, dass das Schlechte gilt, 4. führt keine Handlung dazu durch, dass das Schlechte letztlich gilt, d.h. ggf. lieb, Modallogik mit 5 Sachen anstelle von 2: Möglichkeit, Notwendigkeit;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Zeigt mir den Stein, den die Bauleute nicht nehmen wollten: er ist der Schlussstein. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;60;existiert bisher nicht;52;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;Das hier bringt das Andersartige des Egoismus;Das hier bringt das Andersartige des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wer alles erkennt, sich selbst jedoch verfehlt, der verfehlt alles. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;61;existiert bisher nicht;53;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;"Jesus sagte: Lob sei euch gewiss, wenn man euch hassen und verfolgen sollte; aber kein Ort gefunden wird, an dem man euch verfolgen könnte. ";?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;62;existiert bisher nicht;54;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Lob an jene, die man in ihrem Herzen verfolgte: es sind jene, die gekommen sind, um den Vater in Wahrheit zu erkennen. Und Lob an jene, die hungrig danach reden, der Bauch des Auserwählten (des Ganzgewordenen), sobald er es will, wird er erfüllt werden. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;63;existiert bisher nicht;55;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wenn ihr das in euch fördert, was in euch ist, wird euch das, was ihr habt, retten. Wenn ihr es jedoch nicht in euch habt, wird das, was ihr nicht in euch habt, euch töten. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;64;existiert bisher nicht;56;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Ich werde dieses Haus zerstören und niemand wird in der Lage sein, es wieder aufzubauen. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;65;existiert bisher nicht;57;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Ein Mann sagte zu ihm: Sage meinen Brüdern, dass sie die Besitztümer meines Vaters mit mir teilen sollen. Er sagte zu ihm: Wer hat mich denn zu einem Teiler gemacht? Er wandte sich seinen Jüngern zu. Er sagte ihnen: Bin ich denn ein Teiler? Bin ich? ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;66;existiert bisher nicht;58;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;Das hier bringt die Ordnung und das Wesen des Egoismus;Das hier bringt die Ordnung und das Wesen des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Die Ernte ist zwar groß, aber die Arbeiter sind wenige, so bittet den Herrn, dass er Arbeiter für die Ernte schicke. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;67;existiert bisher nicht;59;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Er sagte: Gütiger, es stehen viele um den Brunnen herum, aber dort ist nichts in dem Brunnen. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;68;existiert bisher nicht;60;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Es gibt viele, die an der Tür stehen, aber jene, die allein gekommen sind, werden in das Brautgemach eintreten. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;69;existiert bisher nicht;61;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Das Königreich des Vaters gleicht einem Kaufmann, der eine Ware erwarb und darin eine Perle fand. Dieser Kaufmann war weise, denn er verkaufte die Ware und kaufte die Perle für sich allein. So auch in eurem Falle, sucht auch ihr den unverfehlten Schatz dort, wo die Motte nicht hinkommt, um zu fressen, und dort, wo kein Wurm (?) zerstört. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;70;existiert bisher nicht;62;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Ich bin das Licht, das über allen Dingen steht. Ich bin alles: aus mir ist alles hervorgegangen und zu mir gelangt. Spaltet das Holz, ich bin da. Hebt einen Stein auf, und ihr werdet mich dort finden. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;71;existiert bisher nicht;63;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Warum seid ihr aufs Land gezogen? Um ein Schilfrohr im Winde schwanken zu sehen? Und um einen Menschen zu sehen, der weiche Kleider trägt, wie eure Könige und Mächtigen? Diese tragen weiche Kleider und sie können Wahrheit nicht verstehen. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;72;existiert bisher nicht;64;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;bringt den Vorteil des Schlechten;1. schätzt das Schlechte nicht ein, 2. ändert nicht die Ordnung zum Schlechten, 3. keine Möglichkeit schlecht zu sein, 4. ist nicht für das Schlechte geeignet, 5. hat keine Bedeutung für eine Ordnung des Schlechten, d.h. ggf. lieb, Modallogik mit 6 Sachen anstelle von 2: Möglichkeit, Notwendigkeit;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;Das hier bringt die Hilfe oder die Bestimmung des Egoismus;Das hier bringt die Hilfe oder die Bestimmung des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Eine Frau aus der Menge sagte zu ihm: Glücklich der Leib, der dich getragen hat, und die Brüste, die dich genährt haben. Er sagte zu ihr: Glücklich sind die, die das Wort des Vaters gehört und dieses in Wahrheit bewahrt haben. Denn es werden Tage kommen, an denen ihr euch sagen werdet: Glücklich der Leib, der nicht empfangen hat, und die Brüste, die nicht Milch gegeben haben.;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;73;existiert bisher nicht;65;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wer immer es geschafft hat, die Welt zu erkennen, hat den Leib gefunden, aber wer den Leib Jesus sagte:gefunden hat, dessen ist die Welt nicht würdig. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;74;existiert bisher nicht;66;siehe oben;?;?;?;-;?;?;Vielleicht Hacking;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
